DFS ID,Name,Pos,Team,Opp,Status,Salary,Actual,SS Proj,Live Proj,My Proj,Value,My Own,Adj Own,Min Exp,Max Exp,Saber Team,Saber Total,dk_points,dk_25_percentile,dk_50_percentile,dk_75_percentile,dk_85_percentile,dk_95_percentile,dk_99_percentile,fd_points,fd_25_percentile,fd_50_percentile,fd_75_percentile,fd_85_percentile,fd_95_percentile,fd_99_percentile,yahoo_points,yahoo_25_percentile,yahoo_50_percentile,yahoo_75_percentile,yahoo_85_percentile,yahoo_95_percentile,yahoo_99_percentile,ob_points,ob_25_percentile,ob_50_percentile,ob_75_percentile,ob_85_percentile,ob_95_percentile,ob_99_percentile,dk_std,fd_std,yahoo_std,ob_std,PTS,Min,2PT,3PT,RB,Off Reb,Def Reb,AST,STL,BLK,TO
116890-145314,Precious Achiuwa,PF/C,NY,BOS,,1000,0,2.64,,2.64,2.64,0,,0,100,102.8707,210.51670000000001,1.7935,0,2.4937500000000004,5.362500000000001,7.8187500000000005,12.899999999999999,19.76415,1.75997,0,2.325,5.49,7.785,12.75,19.860599999999998,1.75997,0,2.325,5.49,7.785,12.75,19.860599999999998,1.79347,0,2.46,5.49,7.785,12.817499999999999,19.86,4.547625,4.587675,4.587675,4.56456,1.19619,2.85119,0.370667,0.0846957,0.614242,0.161421,0.452821,0.166071,0.0529458,0.05195,0.119671
116890-20277,Torrey Craig,SF,BOS,NY,,1000,0,1.98,,1.98,1.98,0,,0,100,107.646,210.51670000000001,1.29867,0,0.84375,2.3625,3.2062500000000003,5.4,8.100000000000001,1.3156,0,0.81,2.16,3.375,5.4,8.100675,1.3156,0,0.81,2.16,3.375,5.4,8.100675,1.31443,0,0.81,2.1937499999999996,3.375,5.3325000000000005,7.965,1.9010699999999998,1.9228199999999998,1.9228199999999998,1.8986100000000001,0.367988,1.5065,0.0712125,0.0594,0.253237,0.0657,0.187538,0.110813,0.0316125,0.03375,0.0444375
116890-171762,JD Davison,PG,BOS,NY,,1000,0,0,,0,0,0,0,0,100,107.646,210.51670000000001,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,
116890-203760,Pacome Dadiet,SF,NY,BOS,,1000,0,0,,0,0,0,0,0,100,102.8707,210.51670000000001,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,
116890-145336,Xavier Tillman,C,BOS,NY,,1000,0,0,,0,0,0,0,0,100,107.646,210.51670000000001,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,
116890-189475,Miles Norris,PF,BOS,NY,,1000,0,0,,0,0,0,0,0,100,107.646,210.51670000000001,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,
116890-80808,Jayson Tatum,PF/SF,BOS,NY,O,14600,0,0,,0,0,0,0,0,100,107.646,210.51670000000001,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,
116890-203715,Baylor Scheierman,SF/SG,BOS,NY,,1000,0,0,,0,0,0,0,0,100,107.646,210.51670000000001,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,
116890-84724,Landry Shamet,SG,NY,BOS,,1000,0,0,,0,0,0,0,0,100,102.8707,210.51670000000001,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,
116890-40830,Delon Wright,PG,NY,BOS,,1000,0,0,,0,0,0,0,0,100,102.8707,210.51670000000001,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,
116890-188457,Jordan Walsh,SF,BOS,NY,,1000,0,0,,0,0,0,0,0,100,107.646,210.51670000000001,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,
116890-203787,Ariel Hukporti,C,NY,BOS,,1000,0,0,,0,0,0,0,0,100,102.8707,210.51670000000001,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,
116890-157811,Neemias Queta,C,BOS,NY,,1000,0,0,,0,0,0,0,0,100,107.646,210.51670000000001,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,
116890-203788,Kevin McCullar,SF,NY,BOS,,1000,0,0,,0,0,0,0,0,100,102.8707,210.51670000000001,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,
116890-195792,Drew Peterson,PF,BOS,NY,,1000,0,0,,0,0,0,0,0,100,107.646,210.51670000000001,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,
116890-203786,Anton Watson,SF,NY,BOS,,1000,0,0,,0,0,0,0,0,100,102.8707,210.51670000000001,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,
116890-171802,MarJon Beauchamp,SG,NY,BOS,,1000,0,0,,0,0,0,0,0,100,102.8707,210.51670000000001,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,
116890-23407,P.J. Tucker,PF,NY,BOS,,1000,0,0,,0,0,0,0,0,100,102.8707,210.51670000000001,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,
116890-203789,Tyler Kolek,PG,NY,BOS,,1000,0,0,,0,0,0,0,0,100,102.8707,210.51670000000001,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,
